NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,80,20171011090106
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,50,20171011090106
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,258,20171011090106
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,340,20171011090108
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,196,20171011090108
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,300,20171011090108
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,221,20171011090059
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.25,149,20171011090059
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,440,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,10,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,3,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,60,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,130,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,1,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,29,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,201,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,400,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,32,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,40,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,33,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,71,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,2,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,95,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,12,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,41,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,30,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,38,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,26,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,79,20171011090058
ADECCO N,ADEN,1,3200,CH0012138605,35,11256.94,1.06,76.3,116,20171011090058
