NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,2,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,2,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,4,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,13,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,9,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,13,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,87,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,8,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,13,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,13,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2159.0,8,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2159.0,5,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2159.0,8,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2159.0,6,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2159.0,9,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2158.0,7,20171011090110
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,1,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,3,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,1,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,4,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,6,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,1,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,13,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,5,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,1,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,5,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,4,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,1,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,4,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,1,20171011090058
GIVAUDAN N,GIVN,1,2400,CH0010645932,35,17343.0,1.57,2157.0,2,20171011090058
