NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,70,20171011090108
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.3,75,20171011090115
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.3,25,20171011090115
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.3,14,20171011090115
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,10,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,25,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,25,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,11,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,12,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,9,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,73,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,55,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,200,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,158,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,148,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,6,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,5,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,8,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,58,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,2,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,1,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,24,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,6,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,20,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,257,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,186,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,34,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,556,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,556,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,3,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,368,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,448,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,275,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,220,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,46,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,250,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,89,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,110,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,32,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,50,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,79,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,113,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,1,20171011090058
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,12,20171011090108
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,26,20171011090108
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,210,20171011090108
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.3,64,20171011090130
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,75,20171011090325
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,50,20171011090325
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,77,20171011090325
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,70,20171011090325
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,111,20171011090409
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.4,63,20171011090146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.4,37,20171011090146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.4,36,20171011090146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,75,20171011090146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,75,20171011090150
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,75,20171011090313
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,30,20171011090333
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,54,20171011090333
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,75,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,25,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,50,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,60,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,56,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,5,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,56,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,65,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,56,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,5,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.5,16,20171011090336
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,50,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,75,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,50,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,75,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,52,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,24,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,54,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,22,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.6,53,20171011090553
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,75,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,1,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,1,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,32,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,2,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,1,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,2,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,1,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,2,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,5,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,5,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,8,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,18,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,7,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,1,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,3,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,13,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,4,20171011090520
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.8,75,20171011090529
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.8,57,20171011090529
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.8,32,20171011090529
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,31,20171011090533
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,86,20171011090533
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,75,20171011090533
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,13,20171011090533
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.8,20,20171011090740
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,16,20171011090750
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,96,20171011090750
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,1,20171011090750
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,3,20171011090750
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,75,20171011090750
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,57,20171011090750
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.8,3,20171011090630
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,78,20171011090801
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,75,20171011090801
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,78,20171011090801
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.9,44,20171011090801
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,63,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,75,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,70,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,43,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,40,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,35,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,76,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,30,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,30,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,63,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,41,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,39,20171011090803
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,75,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,161,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,32,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,32,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,4,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,2,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,261.7,2,20171011090611
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.0,77,20171011090826
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.5,200,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.5,56,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.5,32,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.5,76,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,31,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,42,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.6,8,20171011091153
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,6,20171011091418
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,27,20171011091419
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,3,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,54,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,39,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,40,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,300,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,4,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.1,95,20171011091008
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.2,4,20171011091038
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.2,95,20171011091038
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.2,2,20171011091038
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.2,45,20171011091038
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,4,20171011091115
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,27,20171011091119
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,57,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,42,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,10,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,1,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,109,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,91,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,76,20171011091146
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.2,20,20171011091034
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,2,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,56,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,56,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,56,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,2,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,56,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,2,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,56,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,37,20171011091311
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,81,20171011091214
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,10,20171011091214
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.4,26,20171011091214
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,262.3,3,20171011091419
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.6,81,20171012090221
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.6,75,20171012090221
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.6,75,20171012090221
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,101,20171012090228
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,90,20171012090228
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,9,20171012090228
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.6,33,20171012090229
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.6,42,20171012090229
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,31,20171012090601
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,34,20171012090200
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,50,20171012090200
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,25,20171012090200
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,73,20171012090200
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,1,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,39,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,50,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,50,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,47,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,3,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,75,20171012090133
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,140,20171012090137
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,78,20171012090137
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,85,20171012090140
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,190,20171012090140
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,72,20171012090417
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,30,20171012090641
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,22,20171012090641
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,75,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,150,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,75,20171012090202
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,258,20171012090335
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,59,20171012090335
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,23,20171012090335
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,1,20171012090335
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.5,75,20171012090335
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,75,20171012090342
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,36,20171012090345
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,131,20171012090345
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,19,20171012090345
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.2,50,20171012090346
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,75,20171012090147
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.3,44,20171012090426
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,75,20171012090147
LONZA N,LONN,1,2300,CH0013841017,20,17393.59,1.52,266.4,77,20171012090218
