NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.3,150,20171011090114
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,24,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,15,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,100,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,18,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,14,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,1,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,17,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,44,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,17,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,6,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,40,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,7,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,13,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,60,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,100,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,10,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,10,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,50,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,10,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,247.0,269,20171011090058
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.5,150,20171011090106
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.5,11,20171011090106
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.5,177,20171011090106
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.4,117,20171011090106
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.5,130,20171011090106
ROCHE GS,ROG,1,2300,CH0012032048,5,183041.98,18.31,246.4,783,20171011090106
