NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.15,71,20171011090114
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.15,300,20171011090114
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,25,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,600,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,275,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,150,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,575,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,15,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,2,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,285,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,113,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,165,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,300,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,22,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,79,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,29,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,37,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,254,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,154,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,79,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,239,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,700,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,60,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,15,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,27,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,4,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,394,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,210,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,61,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,54,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,175,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.0,999,20171011090058
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.1,300,20171011090106
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.1,300,20171011090106
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.1,76,20171011090106
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.1,194,20171011090106
SWISS RE N,SREN,1,4800,CH0126881561,60,27644.12,2.69,90.1,300,20171011090106
