NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,1780,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,788,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,409,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,32,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,28,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,985,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,427,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,67,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,58,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,34,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,300,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,100,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,936,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,936,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,234,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,233,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,1224,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,9,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,586,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,309,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,92,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,259,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,500,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,2,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,652,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,559,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,559,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,198,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,361,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,494,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,65,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,68,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,27,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,500,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,90,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,2300,20171011090058
UBS GROUP N,UBSG,1,4800,CH0244767585,5,56606.27,5.41,16.79,12,20171011090058
