NAME,SYMBOL,IS_PART_OF_SMI,SECTOR,ISIN_CODE,INDUSTRY,MARKET_CAP_MIO,SMI_WEIGHT,PRICE,VOL,TIMESTAMP
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.5,70,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,80,20171011090108
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,5,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,11,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,47,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,50,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,60,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,7,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,5,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,102,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,78,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,20,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,50,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,17,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,1,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,1,20171011090058
ZURICH INSURANCE N,ZURN,1,4800,CH0011075394,60,38574.77,3.85,295.7,18,20171011090058
